Date,Description,Amount,Balance
20180927,E*PAYFAST*Woodstock Moto CAPE TOWN    ZA 74565468269260037002695 ,-500.00,0.00
20180927,Audible.co.uk            AUDIBLE.CO.UKGB 74313228269100287338451 ,-155.77,0.00
20181001,Kindle Svcs*MT7GV9M20    866-321-8851 US 24692168272100126351425 ,-33.57,0.00
20181001,Kindle Svcs*MT2IP8MQ0    866-321-8851 US 24692168273100304834241 ,-91.77,0.00
20181001,MONTHLY ACCOUNT FEE  ,-21.18,0.00
20181001,CREDIT FACILITY SERVICE FEE  ,-25.22,0.00
20181001,CREDIT LIFE PREMIUM  ,-3.17,0.00
20181002,I AFRIHOST.COM 2        SEDENBURG     ZA 74548588275001101024564 ,-727.00,0.00
20181004,SMS FEE  ,-4.40,0.00
20181004,NETFLIX.COM              Amsterdam    NL 74987508277000827873936 ,-99.00,0.00
