Date,Description,Amount,Balance
20200102,MONTHLY ACCOUNT FEE  ,-23.00,0.00
20200102,CREDIT FACILITY SERVICE FEE  ,-30.00,0.00
20200102,CREDIT LIFE PREMIUM  ,-3.73,0.00
20200103,I AFRIHOST.COM 2        SEDENBURG     ZA 74548580003002506020575 ,-1009.00,0.00
20200106,SMS FEE  ,-4.20,0.00
20200106,zeroing cc 74565460005808910120004 ,2000.00,0.00
20200106,NETFLIX.COM              Amsterdam    NL 74987500004002194584838 ,-99.00,0.00
20200106,CREDIT BALANCE INTEREST PAID  ,0.01,0.00
20200107,ENGEN MONTE VISTA MOTORS MONTE VISTA  ZA 74790500006715041526828 ,-665.10,0.00
20200113,EXCLUSIVE BOOKS CENTURY  MONTAGUE GARDZA 74790500011715145753800 ,-1997.00,0.00
20200114,ABSOLUTE PETS-KENRIDGE   DURBANVILLE  ZA 74790500013715177851017 ,-784.00,0.00
20200116,YUPPIECHEF WILLOWBRIDGE  TYGER VALLEY ZA 74790500015715212909265 ,-3888.00,0.00
20200117,dive course payment 74565460017808910120000 ,7200.00,0.00
20200117,VOLPES CANAL WALK RETAIL MILNERTON    ZA 74790500016715220794021 ,-958.00,0.00
20200118,BUILDERS WH CITY         CITY         ZA 74565460018184306000183 ,-775.50,0.00
20200118,PAYFAST*Sodwana Bay Lo   CAPE TOWN    ZA 74565460018185809000182 ,-4450.00,0.00
20200122,pay down cc 74565460022808910120003 ,6145.00,0.00
20200123,AIRBNB * HM9QQKRRTA      203-318-1111 GB 74313290022100423956420 ,-1332.09,0.00
20200123,AIRBNB * HMWNSJ9ZYT      203-318-1111 GB 74313290022100423986757 ,-3254.02,0.00
20200124,E*Untouched Adventures   TOKAI        ZA 74565460022222151000231 ,-695.00,0.00
20200124,ENGEN WELGEMOED          BELLVILLE    ZA 74790500023715333616252 ,-647.35,0.00
