Date,Description,Amount,Balance
20180828,CAPE UNION MART ADV CNT  CANAL WALK   ZA 74790508239715692852285 ,-2997.00,0.00
20180901,MONTHLY ACCOUNT FEE  ,-21.18,0.00
20180901,CREDIT FACILITY SERVICE FEE  ,-25.22,0.00
20180901,CREDIT LIFE PREMIUM  ,-7.58,0.00
20180903,pay down CC 74565468246808910120006 ,3051.00,0.00
20180903,I AFRIHOST.COM 2        SEDENBURG     ZA 74548588245001001023002 ,-727.00,0.00
20180904,NETFLIX.COM              Amsterdam    NL 74987508247000860203931 ,-122.75,0.00
20180905,SMS FEE  ,-2.75,0.00
20180905,WIKIMEDIA                877-600-9454 US 24492158248031112132947 ,-500.00,0.00
20180907,M*GRIDHOST               CAPE TOWN    ZA 74565468250071102000428 ,-99.99,0.00
