Date,Description,Amount,Balance
20200701,ENGEN SONNENDAL          PANORAMA     ZA 74790500182715592675194 ,-522.35,0.00
20200701,MONTHLY ACCOUNT FEE  ,-23.00,0.00
20200701,CREDIT FACILITY SERVICE FEE  ,-30.00,0.00
20200701,CREDIT LIFE PREMIUM  ,-7.06,0.00
20200702,I AFRIHOST.COM 2        SEDENBURG     ZA 74548580184003002017561 ,-1059.00,0.00
20200704,SMS FEE  ,-6.60,0.00
20200704,BUILDERS WH CITY         CITY         ZA 74565460186041704001864 ,-2333.00,0.00
20200706,pay down cc 74565460187808910120004 ,8000.00,0.00
20200706,C*Makro Montague         MILNERTON    ZA 74548580187002404000578 ,-2856.90,0.00
20200706,NETFLIX.COM              866-579-7172 NL 74313290186100121575185 ,-99.00,0.00
