Date,Description,Amount,Balance
20191126,Webtickets               RONDEBOSCH   ZA 74922139328021720300802 ,-290.00,0.00
20191126,Webtickets               RONDEBOSCH   ZA 74922139329021730257538 ,-750.00,0.00
20191129,Pay Down CC 74565469333808910120008 ,2500.00,0.00
20191129,pay off uncleared 74565469333808910120008 ,1000.00,0.00
20191129,C*BP KENRIDGE            KENRIDGE     ZA 74548589333000008560710 ,-651.44,0.00
20191130,Quicket                  CAPE TOWN    ZA 74922139333021771860228 ,-1540.00,0.00
20191130,BANDCAMP WATERMARK HIGH  bandcamp.com US 24492159334852368170700 ,-296.06,0.00
20191202,MONTHLY ACCOUNT FEE  ,-23.00,0.00
20191202,CREDIT FACILITY SERVICE FEE  ,-27.00,0.00
20191202,CREDIT LIFE PREMIUM  ,-1.01,0.00
20191203,zeroing 74565469337808910120004 ,340.00,0.00
20191203,I AFRIHOST.COM 2        SEDENBURG     ZA 74548589337002403019777 ,-1009.00,0.00
20191203,M-KEM MEDICINE CITY_ C   BELLVILLE    ZA 74922139336020961064119 ,-1179.89,0.00
20191205,SMS FEE  ,-5.40,0.00
20191205,NETFLIX.COM              866-579-7172 NL 74313299338100601293315 ,-99.00,0.00
20191206,zeroing cc 74565469340808910120009 ,14300.00,0.00
20191206,CREDIT BALANCE INTEREST PAID  ,0.07,0.00
20191207,TAKEALOT ONLINE          FORESHORE    ZA 74565469341072809003409 ,-12004.00,0.00
20191211,C*BP KENRIDGE            KENRIDGE     ZA 74548589345000000621334 ,-715.46,0.00
20191212,GAME 4 U51000002210717   CAPE TOWN    ZA 74303949345949608923271 ,-1909.94,0.00
